month	order_no	product_no	quantity	location
6	3085012482	2150477316	3	59-33-1
6	3085012482	1672017528	2	54-8-2
6	3085012482	1532941613	3	13-25-3
6	3085012482	3931735823	2	20-28-1
6	3085012482	2696914562	2	11-48-6
6	3085012482	1470342939	2	23-25-1
6	3085012482	3671354709	1	13-50-6
6	3085012482	1698680369	2	57-20-1
6	3085012482	1727612617	1	14-25-2
6	3085012482	1147296033	2	59-43-4
6	3085012482	96082754	1	14-34-1
6	3085012482	1702728359	1	11-63-2
6	3085012482	1325022269	1	12-41-6
6	3085012482	1531658851	1	59-23-1
6	3085012482	3671659577	2	11-48-6
6	3085012482	473738798	1	56-26-2
6	3085012482	169364793	2	10-34-3
6	3085012482	1993309013	1	17-48-4
6	3085012482	4022741743	1	17-58-3
6	3085012482	355058277	3	17-54-7
6	2686531441	727614520	1	15-42-7
6	2686531441	136430004	1	20-4-1
6	2686531441	2970699339	1	14-24-5
6	2686531441	3537725177	1	14-18-1
6	958949067	3097326994	1	16-55-4
6	2806838120	1958520522	1	19-14-1
6	2806838120	193850582	1	58-31-2
6	2806838120	1756028312	1	22-21-1
6	3494626302	596011137	1	21-11-3
6	1044751058	4102585007	1	22-21-2
6	1044751058	120880273	1	53-15-1
6	1044751058	1478309850	1	18-21-1
6	1044751058	748198708	1	14-62-1
6	1044751058	917993426	20	14-42-3
6	1044751058	161224090	1	20-20-2
6	1229099588	4112374592	1	23-57-5
6	1229099588	2872269530	2	13-44-7
6	2935668547	601004657	1	16-13-7
6	2935668547	952891160	1	18-51-6
6	2935668547	545411375	1	18-61-3
6	2935668547	3387028506	1	16-12-2
6	2935668547	672378768	1	16-9-1
6	302331144	32804608	1	15-40-3
6	302331144	1546607427	1	45-2-3
6	302331144	3307604729	1	15-42-5
6	302331144	821065779	1	14-40-4
6	1694631326	3439931654	1	14-54-6
6	4217802813	2646778027	6	57-10-1
6	4217802813	846636855	12	17-61-2
6	2355208363	933084202	1	15-9-3
6	359198993	3944927033	1	54-26-1
6	1651491207	756065735	2	13-1-3
6	1651491207	1548719059	2	13-11-1
6	1651491207	1012579297	2	13-21-6
6	1651491207	2774438711	5	11-14-1
6	4073774102	1535467314	1	16-51-10
6	2245520512	2140623466	1	54-23-1
6	2451002867	1322075465	1	12-53-9
6	2451002867	4020506172	2	11-28-2
6	2451002867	3250998138	6	14-19-1
6	3843056997	1159432040	7	11-20-1
6	3799884156	625531732	1	15-42-3
6	3799884156	3096508943	1	15-27-3
6	3799884156	2533590162	1	15-64-7
6	3799884156	742764492	1	15-44-3
6	3799884156	1038973177	1	15-44-3
6	2507837930	4270108758	1	12-21-2
6	2507837930	4167350095	1	12-31-8
6	2507837930	2681141939	1	12-27-9
6	2507837930	2651623556	1	11-32-8
6	2071261382	204105530	1	11-30-4
6	2071261382	3922902130	1	15-11-5
6	3956010327	579130222	1	16-49-4
6	2857497506	184110067	1	19-53-5
6	2857497506	3577036318	1	20-18-3
6	2857497506	4138912476	1	13-28-3
6	2857497506	1220359132	1	13-38-6
6	2857497506	3754561263	1	12-33-8
6	2857497506	3945916048	2	14-15-2
6	1147114126	2796511931	1	16-7-6
6	1147114126	3226974257	1	18-55-4
